Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price,Class Info,Flight URL
12:45,19:35,CMN,ROM,1 escaleMAD,5h 50min,"Iberia, Royal Air Maroc",390.0,Basic,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.6We7wBYoN-cNUvH8T-y68A.42151.86f9f0c9acc6bf0820a26f87178a0f1f&h=1c315e2c257f&sub=F-7484409006824692529E0e0d253b3e1&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12
07:40,15:20,CMN,ROM,1 escaleBCN,6h 40min,Plusieurs compagnies,338.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.47F3EeHCWiIEdn9PX-8xhQ.36534.5fa242e04dfb4dd5075a6ea723966102&h=97bdcc60acb8&sub=F584898372750097657E0c6c81a2005&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13
12:55,20:40,CMN,ROM,1 escaleBLQ,6h 45min,"Royal Air Maroc, ITA Airways",338.0,Économique,https://www.kayak.frjavascript:void(0)&pageOrigin=F..RP.FE.M14
13:15,20:30,CMN,ROM,1 escaleVCE,6h 15min,"Royal Air Maroc, ITA Airways",354.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.FTZUJ6SC9iEmFcdAejOqIg.38263.4100dd60ed6a16011fd22d2557747cc4&h=f2154c36fab8&_kw_pbranded=true&sub=F9178605895647809810E03c81c31470&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15
12:35,16:40,CMN,ROM,direct,3h 05min,ITA Airways,415.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.tYUOhBwwtNbTYwQ_VUUUMA.44857.eb35085a00139bd6e1983c80f922a0b0&h=45deeeb8ddff&sub=F-8895454044236735719E06cd4c14f7f&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16
10:00,18:10,CMN,ROM,1 escaleMAD,7h 10min,"Iberia, Royal Air Maroc",368.0,Basic,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.6We7wBYoN-cNUvH8T-y68A.39773.d105389245cec9359ac1ac4e21fee8f3&h=d27b1cad371d&sub=F-7484409005265609918E0e0d253b3e1&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17
01:15,05:40,CMN,FRA,direct,3h 25min,Lufthansa,357.0,Economy LighteDreams,https://www.kayak.fr/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5267337&pid=eDreamsBrandedBrand_FSR_fr_FR&prv=eDreamsBrandedBrand_FSR_fr_FR&srch=XlHCLBEP8N&ploc=fr_FR&atype=SponsoredResult&prc=357.00&cpnid=7091703&xpExt=&aidExt=&lid=eDreamsBrandedBrand_FSR_fr_FR-XlHCLBEP8N&qorig=Airport:CMN&octid=&qdest=Airport:FRA&qstart=1714104000000&qend=1714363200000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=26939&qdac=FRA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=01vTsbtKLSPvRAoJ4TTJyg%3D%3D&ah=6NqYnsFryICnklxlCHrtXyTOTq_kz9$EjuKVuPmiisI&resid=a2cca270e08f3890bac8c18a16794ba3&bookid=F-1764593761624663929E08e22d21827&seekProv=EDREAMSAIR&trueProv=EDREAMSAIR&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5NjQ$GDmoT5__Opi38xHm-HQoDsxhprqqJsr1TXOIbpfav42PRRLcY_YmEUlWKp&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=vEvlAK2E3og%3D&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
01:15,05:40,CMN,FRA,direct,3h 25min,Lufthansa,356.0,Economy Light,https://www.kayak.fr/book/flight?code=XlHCLBEP8N.Nm_k0mFYnq4.38476.a2cca270e08f3890bac8c18a16794ba3&h=afef8b5282ce&sub=F3250986519690837603E0b828709d65&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
12:25,16:55,CMN,FRA,direct,3h 30min,Royal Air Maroc,380.0,Économique,https://www.kayak.fr/book/flight?code=XlHCLBEP8N.tYUOhBwwtNbTYwQ_VUUUMA.41074.f28d26fa3d01886f8cf162b0037617e1&h=387d2b86640f&sub=F-3072896661980183801E00bdfadc699&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
12:25,16:55,CMN,FRA,direct,3h 30min,"Royal Air Maroc, Lufthansa",427.0,Economy Light,https://www.kayak.fr/book/flight?code=XlHCLBEP8N.Nm_k0mFYnq4.46150.faff0f11b3cac8d2e3561d82f2c5a9b8&h=53d2bc4e7617&sub=F-4782032727203505424E032983c12b0&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
